,HHID,Nonfood Consumption Total (annual) (nominal),Nonfood Consumption Total (annual) (real)
8518,2136e2a6c5fb48079e864081cd9c502e,314078.3945605051,3161.909822281725
8519,e4a07ecb4a9d46489fe01a1452ef5133,167878.91984536362,1690.0812497971524
8520,eeb16d6c6113470d916008a53225341e,772743.2256636269,7779.409337425123
8521,52b3b7d3109f40089caf6793936e283a,198101.9412463214,1994.3443569759868
8522,470d4c2cf7b24cb98d76e4fed7bee15b,67563.98704897078,680.1844316021595
8523,019472c1810248beba0945f052993af5,35021.0172612594,352.5657937077296
8524,3e04eb8a8285494fade7ab4101b3fbe3,18998.324642469925,191.2611320431031
8525,007a1f8fd14e47cb98190b0bb33e5277,879966.1928542486,8858.85115515546
8526,07575c211add42af80ac0d4d0c484da2,576180.97710024,5212.62998017497
8527,4832630881cd46f98efd7fcd28df1bbc,99721.94204422248,902.1706815054247
8528,432e70dab51449159632a65db50530ee,191265.34277672693,1730.3512256583208
8529,f81e2f04abb749a3b39061cab0b96e5e,85768.99215710202,775.940264702147
8530,cf5792f395864fd7912de7d0eac99055,116126.87510658236,1050.5838525441204
8531,bb2bf68332ca43f4afcf82e9c153c168,192716.0213055226,1743.475314601439
8532,f42aedb35d854fddbcab3b4b44489935,9802.332921866711,88.68035651112658
8533,82b4ef6b314b47b2ae7f1effc21ace62,228041.11889195011,2063.0566094548853
8534,17d055e3852f421e8f1b5a79128ec23a,119601.82860146719,1082.0212784346998
8535,4a23389fc06b47b5b01e83cb3f40ba2e,171000.8828540451,1547.0214464340258
8536,222afea853964896907faa22d193df33,48048.68197697977,434.68981124922533
8537,a65b5f53cded4b5a92086760b4e1b9b3,18587.707943183184,168.16043489494916
8538,315f895d46e64eb79963dc71492907be,37776.75197949864,341.7610746418493
8539,a2093e6905c4407dac494831ee1a11a3,102542.2087309149,927.6852459694023
8540,809c4bffb9b9402fb4f414b0af8bc1e6,40791.10973955571,369.0315543271114
8541,5f4374a097ec47d5997996b613454293,130492.30174114527,1180.5458896981156
8542,3b771f731ef34d9ea30cbb844b48af41,65220.23813435089,686.4146574313595
8543,62ac136b6b1d4c79b7bf6b48dc219806,48680.688213124056,512.3430836683028
8544,10e5380266c94d25978eaad1dde59e7f,35748.86510309351,376.2412664417364
8545,87d91284dc684ac9ad514ff2ef0bb39d,97762.75757732209,1028.9105294854573
8546,416c0378cfa84393981ea1c4fd57a6b7,769468.8532284487,8098.325219311365
8547,494fb7c303f44356bb1403c9bfdaa31c,81667.38282197263,859.5137062760122
8548,7c34dc3b61be47a588ba9f79cf90cb71,33927.2083476095,357.0691209000829
8549,e44e25d9483b4c98a6363bb01e4116fd,76685.09732046053,807.0773169960346
8550,2927e3fca5554ebdbf781e24a1d29f9c,111502.31195740773,1173.513367237115
8551,581bcbd3fa724534a2bb387e5b3da3e6,206758.07522798845,2176.0388713459492
8552,b55f61aec66f404bbf8e9ff4e1cfad16,425814.30691342143,4481.510493832498
8553,a30a283108164ac19a018a1e2886d225,151072.5170805583,1589.9725763884885
8554,dc10e2fa9f9846a4bbba83a82fb4297d,459742.93231765233,4838.594528637576
8555,0c9518ebd6ba46f6b20e4be65403b6e1,555279.6318547132,5844.076764838047
8556,f372de1295c04eb8a2eb049a9faa64da,50778.14963617276,534.4179534535325
8557,c67839198dd04afbb9a11bfaec09a6c8,58122.437446904376,611.713390359113
8558,42c5512d39464ac5bf082faf04f632c1,150073.21211495408,1480.401894931307
8559,86dfc2765b4348e4999cc46a76faf069,130836.88532284484,1290.644547612433
8560,454af29f02a74cec8b8f7795bb28b333,113736.19631181973,1121.9542659840174
8561,16f658c2f7c04514a53ea42af089252d,141939.07415316885,1400.1624365858984
8562,d3918ec8966d4de597ce16ef09d5e174,468521.3598893577,4621.74360914398
8563,9f6ae59673a84dbdba77affb9835c3c7,54516.20732598326,537.7768323372327
8564,f5b41880774a46ce9d32f16170a134d0,111010.24598820045,1095.0640437537938
8565,b08f1dd076a740d9b7585cd08ee75b43,88979.95860301606,877.7455847744085
8566,3142a30facb14936a587519f7f0b5dca,54809.92768826162,540.6742460379784
8567,836533475cb7417ba79983873bd353c1,446379.4634350109,4403.32417901091
8568,353e4e9ed5c44640919cb34d4d64415e,353324.19400260027,3485.3775630914583
8569,f5309bd5d2ad4344bf95781c6aa94ff1,33548.29163126958,330.938172127594
8570,9ede8568e87e46408942109c91b3c5bc,84331.1610868351,831.8873762699177
8571,459d166547fd46ed9b9f20c816cd57d3,1080864.9654164654,10662.226258885767
8572,bf474a47a0144adca5b9fb7954a0e680,25273.86209140817,249.31480312218162
8573,ab3cfe53ea0245289cb5446b3d9188eb,2138191.747356366,21092.259370634416
8574,2c3183d241be4a2cb03191675e564d8d,36523.689447523924,371.67609087413507
8575,90ebe771fdef4fff99d05e753b28dedf,156416.8845249438,1591.7454415570658
8576,09b4709eb55a433898c8f6ce0dca3d9d,98948.08754069684,1006.9256127434064
8577,ef0e59e2f00c4048833e2580700fe1b0,5005.539545384143,50.9378816621824
8578,c1f5880f24b74002812b3582b999180a,68368.93059356016,695.7428793377886
8579,ee57330701b24bbf9fe20ec6407d599a,300.0,3.052890574552832
8580,0f4e639f163a4f4b9fdfd041a1988511,94954.42874196036,966.2849350612645
8581,0a0507b67fb34fbfa3f0b350fad2b7c4,69080.92844392086,702.9883844260155
8582,94ff2d1624b045468b0568306a7482bd,158511.88989904206,1613.064848757806
8583,faee9c86c0d346a4acb76ecd2c11189b,146621.49928736486,1492.0646440040032
8584,133520c71163442fab1858d27a88352f,225272.9991066637,2292.446052246607
8585,79424903b87c4f5e95106638cc397370,59917.60498265739,609.7396383377818
8586,b1726e81160b4f37a21cee1b131fefd5,84784.92624108815,862.7970072852503
8587,940da9ac3d4f461b90a8798af77f3ef0,78563.71983034431,799.488132572892
8588,1948c5c69536457099895b5835dd9a33,109339.13571671069,1112.6680561976634
8589,0175f48c829a48bfa9a8067c84e5a6c8,686181.5867122877,6982.790995018834
8590,220d995d1866469ab1172e9c075c392f,187570.14434186456,1856.365202875057
8591,f11b93f1b719488db64fec29ceee9739,79756.37131811689,789.3417843336862
8592,68eee0153ec345cb9f4e41fa3999e994,74750.03011685339,739.794466276465
8593,ae3d3fabbbd042c98dbe9b32e9a24eed,100841.80790297523,998.0224936272674
8594,dfcddb54fc7c4ecfab4c635819489615,119931.25276723035,1186.9490486104417
8595,0c62abf8790c4b5ca4f9086fdab82605,153363.9975312003,1517.8299797639656
8596,f8e2fcec1712416884c40517a79ab474,214187.70817785998,2119.796888465646
8597,138e81a6d40948a1b65f8c06b06a5a76,19476.801496299147,192.76018946350388
8598,d836102177954438830f80349d238f82,124069.08829635607,1227.9008425030192
8599,f2dc225dac93400781abc326aa2f1779,419818.8166188709,4154.909862750013
8600,a35c80b8c6a04ca8948fb83357f70230,39782.29152488278,393.721836364449
8601,98a448d151b14e54bf1e68c94d82fc25,63367.86171905434,627.1461478509705
8602,3099bd7781f848cf92c47ef3545e43a8,36774.591701516176,363.9548960425663
8603,9aef11115e604f078d2e05ec78c52a38,84555.03522498462,836.8337384943969
8604,0cabeb4b339a4e039a5f087b35fbb921,237352.63940974092,2349.0581731799184
8605,3f7ff9a249c8484b89b7c07a770b068a,153466.98801740364,1518.8492675375392
8606,aca48f42d60a454198dce35c8b024c50,64367.32728180143,668.9943772133005
8607,bbb80b3e60bf4a33b712610e5160a99e,79465.45675141626,825.9150409747502
8608,4dccea0460374a03a50e802208b8625c,387495.8253347665,4027.3930779766706
8609,129e18f1ba004892865a0a16deab0fb4,123432.18803242294,1282.878181337387
8610,59100d53851e40ac9dbbedd8ab74524b,14479.340073250445,150.48934768342414
8611,8bb30ba65a5a4ea692c9231d9a1f9b3a,20796.320502771534,216.14415372833648
8612,f08721a6a109466fb887968c338525c0,269818.261217159,2804.324915239779
8613,8b825816e58c48eeb2485238713d2ff9,109917.078133287,1142.4104485331686
8614,639bb3b69c6143a18aa56b4057cd0f5c,98648.62197794976,1025.2930517708116
8615,bc37d7b2120a4b01a623d4d48dcc9462,98081.85322688395,1019.4024062577047
8616,c40fcb0842f24bd4a8e0dc30d20657c6,107337.39879563876,1115.5988494691828
8617,c058779ee6d848e4bf503be3748d98cf,8935.029733547986,92.86519892006253
8618,a17d513f8aa44c15bcec3d3037fdb282,45978.28324548599,477.86997323170164
8619,81131df2458547c0967208bd863ab16c,328313.58332668414,3412.2892853188405
8620,a0f40a6bcece4773a0740705536e007c,19997.522986590568,207.84194406041843
8621,db7cf3d292984516b83f2f233170718d,211433.96555257778,2197.514485684989
8622,f4ecf60c089f4d81ae1365ff04d65406,77044.34491541467,678.1241548427712
8623,614d2c40d6f2447aadd17e99259792d0,191072.8217692439,1681.772957093026
8624,952d7781ab2f4d1ba598b862e660f551,275070.0400671488,2421.0944832861073
8625,0f12023d4f624e2c92e2f9c63f4ae0e9,83972.52756278777,739.1042048062599
8626,6f4e9bc4c5c1440e8d7c82d7d12d3d26,43699.67278234354,384.6330798836266
8627,32c9f40d19a2427f8957423f63ae38ac,130560.93499922556,1149.16317088599
8628,047b3e0f65444089b0807c2b6daaa70a,50957.68934113712,448.5162415896585
8629,cdd294e6ab39492caf0d3d7bf6aa369f,205248.77811623388,1806.5460137975067
8630,c2355d0979584f97bd0ea42af3ecbcba,76947.30684927649,677.2700511877947
8631,d01eec8bf6ca412aa034264dcab3a280,77873.95220729154,685.4261410466003
8632,c6fb51e51f3345349abd443575a69a10,52290.943119042146,460.2511923160925
8633,416316187fa64904aa3ad73511ad48c0,348074.10858025233,3063.657182922057
8634,609627e3eb7549b2a9f7a552e1705774,159422.86682718556,1403.198339196561
8635,c045ff452ab140b1811262decf9f10b1,352573.1851271244,3103.2568768940173
8636,4879633ac45b4fb88802444cd9f17c41,75360.58525259826,663.3041430747527
8637,5f05ce0176144d5fae2d8f8d5134f490,267737.6450498062,2356.556661859139
8638,6ce43211d06e4eef86174748abc887ae,115372.09450590367,1175.0656277665316
8639,6448516cd5a940ac9050bfe72a73c214,25404.688372704277,258.7469371924881
8640,ae4d7f937cb6497aa52719c2edc4a178,57372.40443570403,584.3383594918281
8641,546e553de4894ed59aa54defce24fe12,203599.85457862218,2073.6660104698108
8642,5851736f5f344aed8816f66878ae8e01,201711.44847201946,2054.432580439469
8643,4b1247e190524744ba6d8dcffaf0f5c1,37576.351151558956,382.715411765562
8644,43443a82e11143c68f98f585ae418357,55749.360505775396,567.8076451749735
8645,cf28abf8c1784ac89b03f732da7d44ef,132082.64885939262,1345.2627462794876
8646,841f1aa06f784d35b8b38bf732c9bb8e,23694.04914444669,241.32406412042388
8647,e3756e1ec9ff433aaab6e45b11cc8bd4,80969.66020366816,824.6765823636622
8648,bdf2b235df6940248478aad0bb12ef5b,44040.44771636026,448.55228263447947
8649,088d410f45a64abf855426ac81295634,93958.30341204393,956.9660085966632
8650,7d1651a56dcf497abdc7e19457e129d2,144028.22926982667,1466.9285702739023
8651,d615c66cf3bf40f3a0a0a9f6ef82e5b3,79987.50228809859,814.6732967982297
8652,2cae28d7df0c4e2a852c0d33c7e31140,411862.2728915465,4194.820266731751
8653,77c7dd3a4d904b3e8b40221d18996a1a,302384.593000061,3079.789294995956
8654,0048aac98a2c40a9be924b94cdbe8f0b,19847.73466504583,188.753513659302
8655,20f90616b44f40399d67bd6a6d89c269,74165.99118866917,705.3243943017923
8656,39db67d674744eb797d445468edb751f,340827.98903902987,3241.3009126854126
8657,b882b3667a934cbfa060ab2853322cce,16549.738804744225,157.38931431003974
8658,09edcd6737bf401ba017a0564659f3bf,24992.31222337474,237.67884981554954
8659,437c49e285634177861c23cc64386334,48868.73542070506,464.7455074552997
8660,539633f96d15427cad6e0201fd8a5b6d,141816.42213346224,1348.6852995583408
8661,b5694cba0bd34856b8083b140880280d,192723.6700475768,1832.8172207411005
8662,e33e87cfce4d42b3a527834f092b5ce0,132227.51170646003,1257.4940091765473
8663,b26e75b93d264f79b3873b8396b8a33a,52103.742625282204,495.5106797473529
8664,604e1972c34f43ef8aca68d8d2b99d50,179827.33460371694,1710.1720589915078
8665,def293d1331544e3bc415c3af5d97318,31990.842520929255,304.235421958814
8666,a639cc98ce634b68b699c669e2273255,40703.0130151742,387.0888468024917
8667,ccd387a970a24e228c78b7764e9e903d,33834.03892818421,321.7643643849884
8668,74c6a278eb24427495badf194c5252fa,251683.99097589552,2393.5344980281475
8669,27002e19d7e04c45b410d967be7f8355,133102.99650957403,1265.8199383332947
8670,c08787742aba4064803273059d632b08,30350.602024165448,319.42689397020854
8671,7558cf368e424b4a9436d63d6a18ff09,68161.11968985116,717.3661575057162
8672,47ca2264e3a04bc3a482c3caba640648,21855.011131501913,230.01449255805818
8673,1a2b36f838d6459eb4eee7a7f76d5132,86035.91704645191,905.4906301412099
8674,55ea8ba9c07d4c6bab9de421a3858f4c,26192.713051314422,275.66691981835135
8675,1736735efe2e49c482dd7e8b16ddc38a,28190.70891161603,296.694957789833
8676,9c3b11fe17814239ab959c36ff85075b,43726.28356464641,460.20012824769134
8677,be2d91cc0c9247a3bd4aa71a35a16836,100562.85058755241,1058.380291316653
8678,edb3a0ad7b384158a711eb16237242eb,185244.91103403282,1949.6221692167826
8679,cfad4c8c0e7c45d89715ca5970403227,21534.69046915017,226.64325681887811
8680,2bd317a136344c899d2ecca309c11d51,43480.95543175052,457.61815628443173
8681,571ce334e64a4c778033bc30fc051280,132318.53578899117,1392.5950749876606
8682,02552be8825147f7a1b482a33462585f,35141.07070498469,369.84449458838697
8683,a20e4efe568e453687ce54ff95eedd54,16578.80563599754,174.48472309794647
8684,e8c5d5cba3844b6a94113c8f08d57358,46861.70364390458,493.1990617255785
