,rexp_cat092,annual_use_value
3360,0.0,34.77460245075423
3481,0.0,34.77460245075423
6567,0.0,34.68559556711664
6014,0.0,34.6507667865628
711,0.0,34.61206814150299
238,880.7186,34.60665033119461
4930,0.0,34.5656297674312
3766,0.0,34.501777003082495
967,0.0,34.461143425769684
7981,0.0,34.35472215185518
7583,0.0,34.2657152682176
2309,0.0,34.16703372331506
5231,0.0,34.143814536279166
3277,0.0,34.093506297701396
9774,0.0,34.07415697517149
4471,0.0,34.01997887208774
8632,0.0,33.787787001728816
951,0.0,33.72199930512713
8329,0.0,33.65814654077842
2505,0.0,33.621382827971594
1098,0.0,33.563334860381865
1583,0.0,33.45497865421437
1280,0.0,33.44143412844343
2554,0.0,33.365971770576785
3272,0.0,33.34828096140658
5655,2642.156,33.319533396505
55,0.0,33.28857448045715
3890,0.0,33.280834751445184
3256,0.0,33.257615564409285
6261,0.0,33.202331785752406
5189,0.0,33.10669084867598
5796,0.0,33.095081255158036
7286,0.0,33.0176839650384
2485,0.0,32.93641681041278
3449,4585.446,32.92287228464184
4034,0.0,32.90932775887091
5671,0.0,32.893848300846976
4609,0.0,32.87449897831707
4755,0.0,32.84575141341549
9279,0.0,32.78936195918546
7600,0.0,32.69068041428293
7752,0.0,32.611348191910295
3033,0.0,32.468163205188965
2693,0.0,32.33382362305272
253,881.72577,32.27466997988986
8882,0.0,32.23597133483003
18,0.0,32.1585740447104
1774,0.0,32.11987539965058
6400,0.0,32.11987539965058
6224,0.0,32.089745740282574
8747,0.0,32.04247810953094
6830,0.0,32.003779464471116
1663,0.0,31.95817034707919
1508,0.0,31.931634133323886
3189,0.0,31.88768352929166
1775,0.0,31.848984884231836
4601,0.0,31.82963556170193
1950,0.0,31.790936916642107
5689,0.0,31.68877249368419
8840,0.0,31.670971116956668
8930,631.47394,31.57422450430712
6846,0.0,31.55874504628319
3770,0.0,31.516176536717385
1286,0.0,31.41749499181484
3804,0.0,31.276244937346505
529,0.0,31.094361305565346
4355,0.0,31.07501198303544
4897,0.0,31.044053066987583
7306,0.0,30.986005099397854
496,0.0,30.924087267302138
8317,0.0,30.91634753829018
3445,0.0,30.91634753829018
6208,0.0,30.9124776737842
4954,0.0,30.889258486748307
5835,0.0,30.860510921846725
8800,0.0,30.815731061134645
5479,11922.159,30.813796128881652
2256,0.0,30.806056399869693
8349,0.0,30.72672417749706
8227,0.0,30.64545702287144
8249,0.0,30.645457022871433
9810,0.0,30.629977564847508
674,0.0,30.56418986824582
9446,0.0,30.529084668798696
5198,0.0,30.48872751037917
1264,2642.156,30.463573391090286
9569,0.0,30.35521718492279
5470,0.0,30.32619320112792
6426,0.0,30.264275369032212
5769,0.0,30.24299111424931
1640,0.0,30.18494314665958
8046,0.0,30.18494314665958
51,5128.0557,30.1810732821536
2506,0.0,30.115285585551906
5975,0.0,30.018538972902356
2667,0.0,29.99531978586646
7743,0.0,29.99144992136048
6735,0.0,29.892768376457937
8932,0.0,29.865679324916066
847,0.0,29.838037435587623
1432,0.0,29.82891561210924
1794,0.0,29.7302340672067
2260,0.0,29.720559405941742
8804,0.0,29.707014880170806
4274,0.0,29.6431621158221
3073,0.0,29.562668934097676
8275,0.0,29.52706618064264
2378,0.0,29.453538755028983
